Ip1, Ip2, Ip3, Ip4, Phone, SurvivalTime, AverageAnswerTime, Outcome
183,0,180,15,16517,43,2.1,1
183,92,239,31,15873,42,1.8,1
183,0,180,15,17027,22,2.1,1
183,0,180,15,16532,0,2.1,1
114,231,55,0,18411,39,1.7,1
119,186,225,158,16532,40,1.9,1
113,118,202,197,17061,63,1.7,1
113,118,202,197,17053,74,2.5,1
113,118,202,197,17061,217,1.9,1
113,118,202,197,16532,73,2.2,1
113,118,202,197,16532,35,1.9,1
113,118,202,197,16533,168,1.8,1
113,118,202,197,16532,28,1.8,1
113,118,202,197,17065,41,1.9,1
113,118,202,197,16532,207,2.1,1
113,118,202,197,18411,102,1.8,1
113,118,202,197,17031,28,1.8,1
113,118,202,197,15874,12,1.6,1
113,118,202,197,16253,65,1.9,1
113,118,202,197,18411,138,1.9,1
113,118,202,197,17100,41,1.7,1
113,118,202,197,16253,23,1.8,1
113,118,202,197,16750,40,1.9,1
220,189,88,99,18411,1,2.1,1
220,189,88,99,16722,1,2,1
220,189,88,99,16533,1,1.9,1
220,189,88,99,18411,39,1.8,1
220,189,88,99,17053,1,1.7,1
220,189,88,99,16532,22,1.9,1
220,189,88,99,16750,21,1.9,1
220,189,88,99,16533,1,1.8,1
220,189,88,99,16534,19,1.9,1
120,235,59,194,16533,51,1.7,1
220,189,88,99,16533,38,1.7,1
120,235,59,194,16571,36,1.7,1
120,199,163,111,13235,22,1.7,1
119,186,225,158,16533,1,1.9,1
120,199,163,111,17088,1,1.9,1
120,199,163,111,16722,1,1.9,1
120,199,163,111,16752,21,1.7,1
120,199,163,111,16534,41,2.1,1
120,199,163,111,17031,42,1.8,1
120,199,163,111,17171,1,1.9,1
120,199,163,111,18411,18,1.9,1
120,199,163,111,16532,20,2,1
120,199,163,111,18411,42,2,1
120,199,163,111,17064,39,2,1
119,186,225,158,17012,20,1.9,1
120,199,163,111,17054,22,1.8,1
119,186,225,158,16532,1,1.8,1
120,199,163,111,17017,19,1.8,1
119,186,225,158,17012,1,2.1,1
119,186,225,158,17064,20,1.7,1
119,186,225,158,16573,1,1.9,1
119,186,225,158,17056,1,2.2,1
120,199,163,111,16532,1,1.7,1
120,199,163,111,17053,39,1.9,1
120,199,163,111,16521,43,1.8,1
120,199,163,111,16253,1,1.9,1
120,199,163,111,16253,1,2.1,1
119,186,225,158,16750,45,1.8,1
211,141,217,150,15802,42,1.8,1
123,187,98,136,16533,2,1.7,1
220,173,251,98,16229,1,2,1
119,186,225,158,17064,21,2.1,1
175,152,197,84,16799,38,1.8,1
119,186,225,158,16753,43,1.9,1
123,187,98,136,16533,1,2.1,1
220,173,251,98,16521,1,1.8,1
112,32,10,8,16532,2,1.8,1
112,32,10,8,16238,1,1.8,1
180,124,113,90,16532,20,2,1
112,32,10,8,17069,17,1.8,1
175,152,197,84,16533,1,1.8,1
211,141,217,150,16773,1,2,1
211,141,217,150,17053,1,1.9,1
180,124,113,90,16533,43,1.8,1
175,152,197,84,16533,1,2,1
211,141,217,150,16532,21,1.9,1
175,152,197,84,16532,23,1.8,1
183,92,239,31,16532,23,2,1
180,124,113,90,17016,1,1.9,1
175,152,197,84,16533,1,1.8,1
112,32,10,8,17050,1,2.1,1
112,32,10,8,17016,2,2,1
175,152,197,84,16533,1,1.6,1
175,152,197,84,16532,1,1.8,1
119,186,225,158,18411,20,1.9,1
123,187,98,136,16533,1,1.9,1
112,32,10,8,17053,19,1.9,1
123,187,98,136,17030,1,1.6,1
175,152,197,84,16532,43,1.9,1
112,32,10,8,17053,23,2.1,1
112,32,10,8,17012,22,2.2,1
183,92,239,31,17100,1,1.8,1
1,25,60,52,17064,19,2.1,1
175,152,197,84,16533,1,1.7,1
220,173,251,98,18411,20,2,1
220,173,251,98,16773,1,2.1,1
175,152,197,84,16532,40,1.8,1
175,152,197,84,16532,1,2,1
123,187,98,136,16533,43,1.8,1
175,152,197,84,16532,1,2.1,1
183,92,239,31,16533,21,2.1,1
211,141,217,150,17088,44,2,1
180,124,113,90,17064,2,2,1
175,152,197,84,17030,18,1.7,1
119,186,225,158,16722,1,1.8,1
180,124,113,90,16533,21,1.9,1
220,173,251,98,16253,21,1.8,1
123,145,54,61,16533,1,1.9,1
220,173,251,98,16752,40,2,1
180,124,113,90,17016,36,2.1,1
119,186,225,158,17053,22,2.1,1
123,145,54,61,16533,2,1.8,1
180,124,113,90,15802,39,2,1
123,145,54,61,16532,1,2.1,1
180,124,113,90,16798,43,1.8,1
180,124,113,90,17064,40,2.1,1
119,186,225,158,16533,23,2,1
123,145,54,61,16532,21,2.1,1
175,152,197,84,16533,20,1.7,1
119,186,225,158,16532,42,2.1,1
183,92,239,31,16532,1,2.1,1
183,92,239,31,17121,1,1.9,1
175,152,197,84,16532,1,1.9,1
183,92,239,31,17053,1,1.8,1
220,173,251,98,16238,1,2.1,1
220,189,88,99,16521,1,1.8,1
123,145,54,61,16533,22,1.8,1
119,186,225,158,16233,2,2,1
123,145,54,61,16533,21,1.9,1
211,141,217,150,15873,1,1.9,1
112,32,10,8,17171,1,1.8,1
220,173,251,98,16533,39,1.9,1
123,187,98,136,16520,20,1.6,1
119,186,225,158,16264,2,2,1
119,186,225,158,16521,20,1.9,1
220,173,251,98,17064,2,2,1
175,152,197,84,15874,1,1.8,1
119,186,225,158,17050,1,1.7,1
183,92,239,31,16750,23,2.1,1
180,124,113,90,17064,23,1.8,1
180,124,113,90,17056,23,1.9,1
183,92,239,31,17056,21,2.5,1
112,32,10,8,16238,21,2,1
123,187,98,136,16533,37,2,1
211,141,217,150,16532,22,2.1,1
183,92,239,31,16521,2,2.4,1
123,145,54,61,16533,1,2,1
123,145,54,61,16533,1,2,1
123,145,54,61,17113,1,1.9,1
220,189,88,99,18411,20,1.9,1
211,141,217,150,18411,1,1.9,1
211,141,217,150,16533,1,2,1
123,145,54,61,16532,1,1.8,1
180,124,113,90,16533,41,1.7,1
123,145,54,61,16532,2,1.8,1
220,173,251,98,18411,20,1.8,1
112,32,10,8,17100,45,1.9,1
